Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_164.txt,InsertionSort,832,252759,251773
random,1000,data_164.txt,QuickSort,96,11484,6325
random,1000,data_164.txt,MergeSort,306,8707,8707
random,1000,data_165.txt,InsertionSort,882,259835,258845
random,1000,data_165.txt,QuickSort,98,10826,6455
random,1000,data_165.txt,MergeSort,276,8725,8725
random,1000,data_166.txt,InsertionSort,833,247496,246505
random,1000,data_166.txt,QuickSort,104,12053,7218
random,1000,data_166.txt,MergeSort,261,8683,8683
random,1000,data_167.txt,InsertionSort,817,251974,250982
random,1000,data_167.txt,QuickSort,100,10447,6355
random,1000,data_167.txt,MergeSort,265,8688,8688
random,1000,data_168.txt,InsertionSort,841,253982,252990
random,1000,data_168.txt,QuickSort,103,10724,6284
random,1000,data_168.txt,MergeSort,274,8727,8727
random,1000,data_169.txt,InsertionSort,886,255620,254623
random,1000,data_169.txt,QuickSort,99,10861,6314
random,1000,data_169.txt,MergeSort,273,8704,8704
random,1000,data_17.txt,InsertionSort,836,251019,250023
random,1000,data_17.txt,QuickSort,91,10134,5536
random,1000,data_17.txt,MergeSort,264,8725,8725
random,1000,data_170.txt,InsertionSort,791,250874,249880
random,1000,data_170.txt,QuickSort,87,10413,6149
random,1000,data_170.txt,MergeSort,248,8718,8718
random,1000,data_171.txt,InsertionSort,813,258693,257701
random,1000,data_171.txt,QuickSort,88,10923,5984
random,1000,data_171.txt,MergeSort,242,8705,8705
random,1000,data_172.txt,InsertionSort,789,244967,243977
random,1000,data_172.txt,QuickSort,102,10084,5752
random,1000,data_172.txt,MergeSort,261,8726,8726
random,1000,data_173.txt,InsertionSort,915,256100,255104
random,1000,data_173.txt,QuickSort,109,11104,5580
random,1000,data_173.txt,MergeSort,259,8694,8694
random,1000,data_174.txt,InsertionSort,805,252315,251324
random,1000,data_174.txt,QuickSort,93,10745,5855
random,1000,data_174.txt,MergeSort,257,8734,8734
random,1000,data_175.txt,InsertionSort,814,251039,250043
random,1000,data_175.txt,QuickSort,94,11336,6151
random,1000,data_175.txt,MergeSort,256,8685,8685
random,1000,data_176.txt,InsertionSort,1165,259499,258510
random,1000,data_176.txt,QuickSort,89,10847,6018
random,1000,data_176.txt,MergeSort,247,8721,8721
random,1000,data_177.txt,InsertionSort,786,246286,245296
random,1000,data_177.txt,QuickSort,93,11154,5818
random,1000,data_177.txt,MergeSort,256,8734,8734
random,1000,data_178.txt,InsertionSort,793,241656,240662
random,1000,data_178.txt,QuickSort,117,10330,5709
random,1000,data_178.txt,MergeSort,470,8704,8704
random,1000,data_179.txt,InsertionSort,815,258759,257763
random,1000,data_179.txt,QuickSort,91,12248,5993
random,1000,data_179.txt,MergeSort,300,8719,8719
random,1000,data_18.txt,InsertionSort,765,251310,250317
random,1000,data_18.txt,QuickSort,85,10844,5734
random,1000,data_18.txt,MergeSort,249,8680,8680
random,1000,data_180.txt,InsertionSort,821,255170,254181
random,1000,data_180.txt,QuickSort,94,10861,5553
random,1000,data_180.txt,MergeSort,261,8671,8671
random,1000,data_181.txt,InsertionSort,843,255995,255006
random,1000,data_181.txt,QuickSort,99,11630,7439
random,1000,data_181.txt,MergeSort,286,8678,8678
random,1000,data_182.txt,InsertionSort,791,248694,247700
random,1000,data_182.txt,QuickSort,96,11447,7431
random,1000,data_182.txt,MergeSort,257,8718,8718
random,1000,data_183.txt,InsertionSort,798,251576,250586
random,1000,data_183.txt,QuickSort,93,9888,5831
random,1000,data_183.txt,MergeSort,290,8707,8707
random,1000,data_184.txt,InsertionSort,768,247038,246044
random,1000,data_184.txt,QuickSort,85,11591,5218
random,1000,data_184.txt,MergeSort,249,8739,8739
random,1000,data_185.txt,InsertionSort,1147,250261,249267
random,1000,data_185.txt,QuickSort,88,10747,5594
random,1000,data_185.txt,MergeSort,250,8716,8716
